allen-p,"[{'averageChar': 264.48405797101447}, {'averageWord': 45.040579710144925}, {'averageWordLength': 5.87212819357745}, {'averageSentenceCount': 1.0}, {'averageParagraphCount': 690.0}, {'shortWordDensity': 0.4105154771864341}, {'averagePolarityCount': 0.08716710450785638}, {'averageSubjectivityCount': 0.23686003506623438}]"
arnold-j,"[{'averageChar': 147.8893499308437}, {'averageWord': 25.035961272475795}, {'averageWordLength': 5.907076957074195}, {'averageSentenceCount': 1.0}, {'averageParagraphCount': 1446.0}, {'shortWordDensity': 0.41920335893044586}, {'averagePolarityCount': 0.03197202671648519}, {'averageSubjectivityCount': 0.24085978781847506}]"
arora-h,"[{'averageChar': 148.98529411764707}, {'averageWord': 27.985294117647058}, {'averageWordLength': 5.323699421965318}, {'averageSentenceCount': 1.0}, {'averageParagraphCount': 136.0}, {'shortWordDensity': 0.45612191276931163}, {'averagePolarityCount': 0.11138047359095153}, {'averageSubjectivityCount': 0.27510099462764903}]"
bass-e,"[{'averageChar': 124.34883720930233}, {'averageWord': 23.813953488372093}, {'averageWordLength': 5.2216796875}, {'averageSentenceCount': 1.0}, {'averageParagraphCount': 516.0}, {'shortWordDensity': 0.4855143229166667}, {'averagePolarityCount': 0.0775450299305016}, {'averageSubjectivityCount': 0.25058266620300457}]"
baughman-d,"[{'averageChar': 268.6875}, {'averageWord': 44.447916666666664}, {'averageWordLength': 6.044996484649637}, {'averageSentenceCount': 1.0}, {'averageParagraphCount': 192.0}, {'shortWordDensity': 0.40074994141082726}, {'averagePolarityCount': 0.08416177452759359}, {'averageSubjectivityCount': 0.2854491436388291}]"
beck-s,"[{'averageChar': 546.4087136929461}, {'averageWord': 93.41078838174273}, {'averageWordLength': 5.849524697938877}, {'averageSentenceCount': 1.0}, {'averageParagraphCount': 964.0}, {'shortWordDensity': 0.4058057924662402}, {'averagePolarityCount': 0.14858737011581713}, {'averageSubjectivityCount': 0.3289968657848436}]"
blair-l,"[{'averageChar': 189.33584499461787}, {'averageWord': 32.53928955866523}, {'averageWordLength': 5.818684045122233}, {'averageSentenceCount': 1.0}, {'averageParagraphCount': 1858.0}, {'shortWordDensity': 0.40983823480763504}, {'averagePolarityCount': 0.17944096840315069}, {'averageSubjectivityCount': 0.29018939923382925}]"
brawner-s,"[{'averageChar': 161.53424657534248}, {'averageWord': 29.383561643835616}, {'averageWordLength': 5.4974358974358974}, {'averageSentenceCount': 1.0}, {'averageParagraphCount': 146.0}, {'shortWordDensity': 0.4442890442890443}, {'averagePolarityCount': 0.12012340874498409}, {'averageSubjectivityCount': 0.32584759608732217}]"
buy-r,"[{'averageChar': 157.90769230769232}, {'averageWord': 29.43846153846154}, {'averageWordLength': 5.36399268356415}, {'averageSentenceCount': 1.0}, {'averageParagraphCount': 780.0}, {'shortWordDensity': 0.42809859768312863}, {'averagePolarityCount': 0.13712550319390093}, {'averageSubjectivityCount': 0.2896985718289689}]"
campbell-l,"[{'averageChar': 217.54700854700855}, {'averageWord': 38.99145299145299}, {'averageWordLength': 5.579351161771153}, {'averageSentenceCount': 1.0}, {'averageParagraphCount': 234.0}, {'shortWordDensity': 0.4355545813239807}, {'averagePolarityCount': 0.02453402740494135}, {'averageSubjectivityCount': 0.1966919263534158}]"
carson-m,"[{'averageChar': 117.26271186440678}, {'averageWord': 18.177966101694917}, {'averageWordLength': 6.450815850815851}, {'averageSentenceCount': 1.0}, {'averageParagraphCount': 236.0}, {'shortWordDensity': 0.4037296037296037}, {'averagePolarityCount': 0.05328979631571854}, {'averageSubjectivityCount': 0.18326089972027163}]"
cash-m,"[{'averageChar': 150.80550458715595}, {'averageWord': 27.18532110091743}, {'averageWordLength': 5.547313714902808}, {'averageSentenceCount': 1.0}, {'averageParagraphCount': 1090.0}, {'shortWordDensity': 0.42960313174946}, {'averagePolarityCount': 0.11397988134257209}, {'averageSubjectivityCount': 0.28494902633875097}]"
causholli-m,"[{'averageChar': 456.08035714285717}, {'averageWord': 65.79910714285714}, {'averageWordLength': 6.931406472623651}, {'averageSentenceCount': 1.0}, {'averageParagraphCount': 448.0}, {'shortWordDensity': 0.3538231901757243}, {'averagePolarityCount': 0.08488154577172127}, {'averageSubjectivityCount': 0.2314019215305355}]"
corman-s,"[{'averageChar': 308.9015873015873}, {'averageWord': 53.977777777777774}, {'averageWordLength': 5.722754807975063}, {'averageSentenceCount': 1.0}, {'averageParagraphCount': 1260.0}, {'shortWordDensity': 0.41510321707933895}, {'averagePolarityCount': 0.07707459207083887}, {'averageSubjectivityCount': 0.32572071904637856}]"
crandell-s,"[{'averageChar': 1433.5838926174497}, {'averageWord': 239.18791946308724}, {'averageWordLength': 5.993546395802351}, {'averageSentenceCount': 1.0}, {'averageParagraphCount': 298.0}, {'shortWordDensity': 0.4642105558517355}, {'averagePolarityCount': 0.0787801917168051}, {'averageSubjectivityCount': 0.3190354832956137}]"
cuilla-m,"[{'averageChar': 344.4}, {'averageWord': 45.207142857142856}, {'averageWordLength': 7.618265128772318}, {'averageSentenceCount': 1.0}, {'averageParagraphCount': 280.0}, {'shortWordDensity': 0.40938536893664085}, {'averagePolarityCount': 0.02945289468851825}, {'averageSubjectivityCount': 0.31105890020850574}]"
dasovich-j,"[{'averageChar': 440.4401114206128}, {'averageWord': 73.58426183844011}, {'averageWordLength': 5.985520550408358}, {'averageSentenceCount': 1.0}, {'averageParagraphCount': 2872.0}, {'shortWordDensity': 0.3876423102766237}, {'averagePolarityCount': 0.09076401208149122}, {'averageSubjectivityCount': 0.32596860622326795}]"
davis-d,"[{'averageChar': 108.54716981132076}, {'averageWord': 19.88679245283019}, {'averageWordLength': 5.458254269449715}, {'averageSentenceCount': 1.0}, {'averageParagraphCount': 106.0}, {'shortWordDensity': 0.4686907020872865}, {'averagePolarityCount': 0.07405790128372675}, {'averageSubjectivityCount': 0.2228712325410439}]"
delainey-d,"[{'averageChar': 156.77966101694915}, {'averageWord': 26.89830508474576}, {'averageWordLength': 5.828607435412729}, {'averageSentenceCount': 1.0}, {'averageParagraphCount': 118.0}, {'shortWordDensity': 0.4158790170132325}, {'averagePolarityCount': 0.07858583049261016}, {'averageSubjectivityCount': 0.19549365373517916}]"
derrick-j,"[{'averageChar': 68.26586620926244}, {'averageWord': 12.730703259005146}, {'averageWordLength': 5.362301266504986}, {'averageSentenceCount': 1.0}, {'averageParagraphCount': 1166.0}, {'shortWordDensity': 0.47763406090002697}, {'averagePolarityCount': 0.12665864414792372}, {'averageSubjectivityCount': 0.13498251876768175}]"
donoho-l,"[{'averageChar': 257.91244239631334}, {'averageWord': 46.064516129032256}, {'averageWordLength': 5.598939575830332}, {'averageSentenceCount': 1.0}, {'averageParagraphCount': 434.0}, {'shortWordDensity': 0.4414765906362545}, {'averagePolarityCount': 0.07258357496742984}, {'averageSubjectivityCount': 0.31898564242203237}]"
dorland-c,"[{'averageChar': 122.68313458262351}, {'averageWord': 23.601362862010223}, {'averageWordLength': 5.198137721957558}, {'averageSentenceCount': 1.0}, {'averageParagraphCount': 1174.0}, {'shortWordDensity': 0.46520860401328135}, {'averagePolarityCount': 0.0520475654958378}, {'averageSubjectivityCount': 0.2612735502999588}]"
farmer-d,"[{'averageChar': 267.98062015503876}, {'averageWord': 45.833333333333336}, {'averageWordLength': 5.846849894291755}, {'averageSentenceCount': 1.0}, {'averageParagraphCount': 516.0}, {'shortWordDensity': 0.4211416490486258}, {'averagePolarityCount': 0.06303860979087203}, {'averageSubjectivityCount': 0.21004758725991252}]"
fischer-m,"[{'averageChar': 186.5483870967742}, {'averageWord': 32.774193548387096}, {'averageWordLength': 5.691929133858268}, {'averageSentenceCount': 1.0}, {'averageParagraphCount': 124.0}, {'shortWordDensity': 0.4404527559055118}, {'averagePolarityCount': 0.08034601002342937}, {'averageSubjectivityCount': 0.27819964720166335}]"
forney-j,"[{'averageChar': 3484.8310185185187}, {'averageWord': 194.69212962962962}, {'averageWordLength': 17.89918793917272}, {'averageSentenceCount': 1.0}, {'averageParagraphCount': 864.0}, {'shortWordDensity': 0.17663214714589748}, {'averagePolarityCount': 0.09999016419074068}, {'averageSubjectivityCount': 0.29278827133700874}]"
gang-l,"[{'averageChar': 122.32222222222222}, {'averageWord': 22.22222222222222}, {'averageWordLength': 5.5045}, {'averageSentenceCount': 1.0}, {'averageParagraphCount': 180.0}, {'shortWordDensity': 0.448}, {'averagePolarityCount': 0.04461881713965048}, {'averageSubjectivityCount': 0.2622916366041367}]"
geaccone-t,"[{'averageChar': 74.40273972602739}, {'averageWord': 14.271232876712329}, {'averageWordLength': 5.213476674985602}, {'averageSentenceCount': 1.0}, {'averageParagraphCount': 730.0}, {'shortWordDensity': 0.4661163371088501}, {'averagePolarityCount': 0.09029897627378056}, {'averageSubjectivityCount': 0.20025956306142217}]"
germany-c,"[{'averageChar': 274.0657797487066}, {'averageWord': 42.92461197339246}, {'averageWordLength': 6.384816708852041}, {'averageSentenceCount': 1.0}, {'averageParagraphCount': 2706.0}, {'shortWordDensity': 0.4256934759026809}, {'averagePolarityCount': 0.06744776615212744}, {'averageSubjectivityCount': 0.2888789446041891}]"
giron-d,"[{'averageChar': 117.35526315789474}, {'averageWord': 21.075657894736842}, {'averageWordLength': 5.56828468862182}, {'averageSentenceCount': 1.0}, {'averageParagraphCount': 608.0}, {'shortWordDensity': 0.45028874668331514}, {'averagePolarityCount': 0.029708332291630467}, {'averageSubjectivityCount': 0.198586312786633}]"
grigsby-m,"[{'averageChar': 137.12671232876713}, {'averageWord': 24.424657534246574}, {'averageWordLength': 5.614273696017947}, {'averageSentenceCount': 1.0}, {'averageParagraphCount': 584.0}, {'shortWordDensity': 0.428771733034212}, {'averagePolarityCount': 0.08128082232962368}, {'averageSubjectivityCount': 0.2456343708612545}]"
haedicke-m,"[{'averageChar': 109.60344827586206}, {'averageWord': 19.603448275862068}, {'averageWordLength': 5.591029023746702}, {'averageSentenceCount': 1.0}, {'averageParagraphCount': 232.0}, {'shortWordDensity': 0.4177660510114336}, {'averagePolarityCount': 0.1510842954539075}, {'averageSubjectivityCount': 0.2585407037885485}]"
hayslett-r,"[{'averageChar': 78.19136960600375}, {'averageWord': 14.930581613508442}, {'averageWordLength': 5.236994219653179}, {'averageSentenceCount': 1.0}, {'averageParagraphCount': 1066.0}, {'shortWordDensity': 0.4731088213118874}, {'averagePolarityCount': 0.07227829823652582}, {'averageSubjectivityCount': 0.2000640728191693}]"
heard-m,"[{'averageChar': 213.23341836734693}, {'averageWord': 34.85331632653061}, {'averageWordLength': 6.118023787740165}, {'averageSentenceCount': 1.0}, {'averageParagraphCount': 1568.0}, {'shortWordDensity': 0.4055626715462031}, {'averagePolarityCount': 0.06363114795131257}, {'averageSubjectivityCount': 0.25829119212290413}]"
hendrickson-s,"[{'averageChar': 330.3538461538462}, {'averageWord': 58.261538461538464}, {'averageWordLength': 5.670187483496171}, {'averageSentenceCount': 1.0}, {'averageParagraphCount': 130.0}, {'shortWordDensity': 0.42619487721151306}, {'averagePolarityCount': 0.046864632771198136}, {'averageSubjectivityCount': 0.24940642706762786}]"
hernandez-j,"[{'averageChar': 182.36507936507937}, {'averageWord': 30.952380952380953}, {'averageWordLength': 5.891794871794872}, {'averageSentenceCount': 1.0}, {'averageParagraphCount': 126.0}, {'shortWordDensity': 0.42923076923076925}, {'averagePolarityCount': 0.11666980653091764}, {'averageSubjectivityCount': 0.23701689991372527}]"
hodge-j,"[{'averageChar': 295.46875}, {'averageWord': 31.697916666666668}, {'averageWordLength': 9.321393361814}, {'averageSentenceCount': 1.0}, {'averageParagraphCount': 192.0}, {'shortWordDensity': 0.30791981597108115}, {'averagePolarityCount': 0.07394580101611352}, {'averageSubjectivityCount': 0.2072244253762111}]"
horton-s,"[{'averageChar': 300.4013157894737}, {'averageWord': 49.18421052631579}, {'averageWordLength': 6.107677902621723}, {'averageSentenceCount': 1.0}, {'averageParagraphCount': 304.0}, {'shortWordDensity': 0.4074371321562333}, {'averagePolarityCount': 0.15058123750640204}, {'averageSubjectivityCount': 0.37431496777467194}]"
hyatt-k,"[{'averageChar': 245.03426791277258}, {'averageWord': 43.25233644859813}, {'averageWordLength': 5.665226159608182}, {'averageSentenceCount': 1.0}, {'averageParagraphCount': 642.0}, {'shortWordDensity': 0.4230769230769231}, {'averagePolarityCount': 0.06856855718606152}, {'averageSubjectivityCount': 0.2991820896859837}]"
jones-t,"[{'averageChar': 138.22044728434506}, {'averageWord': 24.968051118210862}, {'averageWordLength': 5.535892514395393}, {'averageSentenceCount': 1.0}, {'averageParagraphCount': 626.0}, {'shortWordDensity': 0.44273832373640437}, {'averagePolarityCount': 0.06613956728396642}, {'averageSubjectivityCount': 0.19139743712741558}]"
kaminski-v,"[{'averageChar': 134.0123820754717}, {'averageWord': 20.57134433962264}, {'averageWordLength': 6.514517469689587}, {'averageSentenceCount': 1.0}, {'averageParagraphCount': 3392.0}, {'shortWordDensity': 0.38717074149445385}, {'averagePolarityCount': 0.05470397066395416}, {'averageSubjectivityCount': 0.1358739332622155}]"
kean-s,"[{'averageChar': 210.0065502183406}, {'averageWord': 34.63100436681223}, {'averageWordLength': 6.064119538490638}, {'averageSentenceCount': 1.0}, {'averageParagraphCount': 916.0}, {'shortWordDensity': 0.39795725364100626}, {'averagePolarityCount': 0.08862442120472759}, {'averageSubjectivityCount': 0.23198832013104087}]"
keiser-k,"[{'averageChar': 180.07671232876712}, {'averageWord': 31.572602739726026}, {'averageWordLength': 5.703575147518223}, {'averageSentenceCount': 1.0}, {'averageParagraphCount': 730.0}, {'shortWordDensity': 0.4258070114543561}, {'averagePolarityCount': 0.05636827014436604}, {'averageSubjectivityCount': 0.24108626861523633}]"
kitchen-l,"[{'averageChar': 144.65194346289752}, {'averageWord': 24.093639575971732}, {'averageWordLength': 6.0037398254748116}, {'averageSentenceCount': 1.0}, {'averageParagraphCount': 2264.0}, {'shortWordDensity': 0.42065703600498644}, {'averagePolarityCount': 0.059873022592069676}, {'averageSubjectivityCount': 0.24798930990200124}]"
kuykendall-t,"[{'averageChar': 162.53488372093022}, {'averageWord': 31.37984496124031}, {'averageWordLength': 5.179594861660079}, {'averageSentenceCount': 1.0}, {'averageParagraphCount': 258.0}, {'shortWordDensity': 0.4688735177865613}, {'averagePolarityCount': 0.11119957746340542}, {'averageSubjectivityCount': 0.31309637258472534}]"
lavorato-j,"[{'averageChar': 110.00296735905044}, {'averageWord': 19.339762611275965}, {'averageWordLength': 5.687917146144994}, {'averageSentenceCount': 1.0}, {'averageParagraphCount': 1348.0}, {'shortWordDensity': 0.42577675489067895}, {'averagePolarityCount': 0.05130295051074495}, {'averageSubjectivityCount': 0.2291497526271815}]"
lenhart-m,"[{'averageChar': 92.76792698826597}, {'averageWord': 18.73794002607562}, {'averageWordLength': 4.95080712496521}, {'averageSentenceCount': 1.0}, {'averageParagraphCount': 1534.0}, {'shortWordDensity': 0.49269412747008073}, {'averagePolarityCount': 0.07111168083269745}, {'averageSubjectivityCount': 0.2686189395188425}]"
lokay-m,"[{'averageChar': 186.67701863354037}, {'averageWord': 28.236024844720497}, {'averageWordLength': 6.611306643202815}, {'averageSentenceCount': 1.0}, {'averageParagraphCount': 322.0}, {'shortWordDensity': 0.3515178178618566}, {'averagePolarityCount': 0.05875902721288701}, {'averageSubjectivityCount': 0.19108892594473773}]"
lokey-t,"[{'averageChar': 120.3781512605042}, {'averageWord': 21.294117647058822}, {'averageWordLength': 5.653117600631413}, {'averageSentenceCount': 1.0}, {'averageParagraphCount': 238.0}, {'shortWordDensity': 0.43764798737174426}, {'averagePolarityCount': 0.09372497624356059}, {'averageSubjectivityCount': 0.2309998816034691}]"
love-p,"[{'averageChar': 167.43405676126878}, {'averageWord': 30.22871452420701}, {'averageWordLength': 5.538907604793726}, {'averageSentenceCount': 1.0}, {'averageParagraphCount': 1198.0}, {'shortWordDensity': 0.45672944165239965}, {'averagePolarityCount': 0.05379195463228573}, {'averageSubjectivityCount': 0.241360085345335}]"
lucci-p,"[{'averageChar': 149.47435897435898}, {'averageWord': 29.316239316239315}, {'averageWordLength': 5.09868804664723}, {'averageSentenceCount': 1.0}, {'averageParagraphCount': 468.0}, {'shortWordDensity': 0.4728862973760933}, {'averagePolarityCount': 0.04018536343704231}, {'averageSubjectivityCount': 0.3388468254892502}]"
maggi-m,"[{'averageChar': 36.0948275862069}, {'averageWord': 6.439655172413793}, {'averageWordLength': 5.605087014725569}, {'averageSentenceCount': 1.0}, {'averageParagraphCount': 232.0}, {'shortWordDensity': 0.46987951807228917}, {'averagePolarityCount': 0.059825735806339236}, {'averageSubjectivityCount': 0.2581455721003135}]"
mann-k,"[{'averageChar': 99.5}, {'averageWord': 18.657894736842106}, {'averageWordLength': 5.332863187588153}, {'averageSentenceCount': 1.0}, {'averageParagraphCount': 532.0}, {'shortWordDensity': 0.4553697360467459}, {'averagePolarityCount': 0.09322714479199436}, {'averageSubjectivityCount': 0.28899861938395793}]"
martin-t,"[{'averageChar': 232.3930131004367}, {'averageWord': 43.1528384279476}, {'averageWordLength': 5.3853470957296095}, {'averageSentenceCount': 1.0}, {'averageParagraphCount': 458.0}, {'shortWordDensity': 0.44950414895770086}, {'averagePolarityCount': 0.05998200947378743}, {'averageSubjectivityCount': 0.2861790729521091}]"
mccarty-d,"[{'averageChar': 184.0872093023256}, {'averageWord': 32.906976744186046}, {'averageWordLength': 5.594169611307421}, {'averageSentenceCount': 1.0}, {'averageParagraphCount': 344.0}, {'shortWordDensity': 0.42367491166077736}, {'averagePolarityCount': 0.04783672858866658}, {'averageSubjectivityCount': 0.264744344784558}]"
mcconnell-m,"[{'averageChar': 297.4818181818182}, {'averageWord': 44.63636363636363}, {'averageWordLength': 6.664562118126273}, {'averageSentenceCount': 1.0}, {'averageParagraphCount': 220.0}, {'shortWordDensity': 0.3885947046843177}, {'averagePolarityCount': 0.06680148175767579}, {'averageSubjectivityCount': 0.2861635817521105}]"
